date,title,source,contents,link
2일 전,"클린스만 경질하고 줄행랑…정몽규, 사퇴 여론에 ""오해가 있다""",노컷뉴스언론사 선정,"위르겐 클린스만 한국 축구 대표팀 감독을 전격 경질했지만, 본인의 책임은 교묘하게 피해갔다. 정몽규 대한축구협회장은 16일 서울시 종로구 축구회관에서 열린 임원 회의에서 클린스만 감독의 거취 문제에 대해 논의한 뒤 회의 결과를 발표했다. 먼저 정 회장은 ""많은 국민께 실망을 드려 대단히 송구스럽다...",https://www.nocutnews.co.kr/news/6096792
2일 전,클린스만 “손흥민·이강인 탓에 경기력 안 좋았다…전술은 문제없어”,세계일보언론사 선정,"축구협회 전력강화위, 클린스만 경질 건의 내분 관련 “팩트만 확인…추가 파악 예정” 위르겐 클린스만 축구대표팀 감독이 15일 오전 서울 종로구 축구회관에서 열린 2024년도 제1차 국가대표전력강화위원회에 화상으로 참여하고 있다. 공동취재사진 위르겐 클린스만 한국 축구대표팀 감독이 2023...",http://www.segye.com/newsView/20240216500350?OutUrl=naver
2일 전,"클린스만, SNS에 작별 인사 “준결승전까지 13연속 무패…멋진 여정”",서울신문언론사 선정,위르겐 클린스만 대한민국 축구 국가대표팀 감독이 임기 1년을 못 채우고 결국 해임된 것으로 알려졌다. 클린스만 감독은 한국시간 16일 오후 1시쯤 자신의 인스타그램을 통해 “모든 선수와 코치진 그리고 한국 축구 팬에게 감사드린다. 아시안컵 준결승에 진출할 수 있도록 응원해주신 모든 분께 진심으로...,https://www.seoul.co.kr/news/newsView.php?id=20240216500100&wlog_tag3=naver
2일 전,"클린스만 경질…축구협회, 전화로 결별 통보",한겨레,대한축구협회가 위르겐 클린스만 대표팀 감독에게 전화로 결별 의사를 전했다. 대한축구협회 관계자는 16일 서울 종로구 축구회관에서 기자들과 만나 “아침 10시에 임원회의를 열었고 12시께 (클린스만 감독 경질) 논의가 종료됐다. 축구협회에서 관련 내용을 먼저 밝히기보단 본인에게 밝히는 게 먼저이기에...,https://www.hani.co.kr/arti/sports/soccer/1128638.html
2일 전,"'클린스만 경질' 선택한 축구협회 위원들...""팀 분위기 파악 못해""",이코노미스트언론사 선정,대한축구협회 전력강화위원회가 이번 아시안컵 부진의 책임을 물어 위르겐 클린스만 감독을 경질하라고 수뇌부에 권고했다. 정몽규 대한축구협회 회장은 위원회 의견을 수렴한 후 클린스만 감독 경질을 최종 결정하게 된다. 축구협회는 15일 오전 11시부터 약 5시간 동안 종로구 신문로 축구회관에서 2024년도...,https://economist.co.kr/article/view/ecn202402150040
1일 전,"""결과로 보여주겠다"" ""월드컵 4강""…클린스만의 말말말",JTBC,클린스만 감독이 남긴 말 어떤 게 기억나시나요? 이한길 기자가 클린스만 감독의 발언들로 지난 11개월을 정리해 봤습니다. [기자] 2023년 3월 8일 우리 축구와 동행이 시.작.됐.다 [클린스만/축구 대표팀 감독 (2023년 3월) : 목표는 아시안컵 우승입니다. 결과로 보여드리겠습니다. 길게 보면 월드컵 4강에...,https://news.jtbc.co.kr/article/article.aspx?news_id=NB12165765
2일 전,축구협회 임원 회의...클린스만 거취 결정 전망,YTN,"대한축구협회가 클린스만 감독의 경질 여부를 결정하기 위한 임원 회의를 열었습니다. 어제 전력강화위원회에서 감독 경질로 뜻을 모은 이후, 최종... 안건은 축구대표팀 사안 관련이라고만 발표했지만, 사실상 위르겐 클린스만 감독의 경질 여부를 결정하는 자리로 볼 수 있습니다. 어제였죠, 축구협회...",https://www.ytn.co.kr/_ln/0107_202402161155394950
2일 전,[노컷한컷]한국 떠나는 클린스만…병원 떠난다는 의사들,노컷뉴스언론사 선정,"국회사진취재단 KFA 전력강화위원회 ""클린스만 교체 필요 의견"" 황보관 대한축구협회 기술본부장이 15일 오후 서울 종로구 축구회관에서 전력강화위원회... 박종민 기자 축구협회 임원회의..클린스만 감독 거취 논의 정몽규 대한축구협회장이 16일 오전 서울 종로구 축구회관에서 열린 임원회의를 주재하고...",https://www.nocutnews.co.kr/news/6096938
2일 전,"정몽규, 임원회의 참석해 클린스만 경질 결단 내리나",매일신문언론사 선정,대한축구협회가 국가대표전력강화위원회의 위르겐 클린스만 감독 경질 건의를 비롯한 대표팀 현안을 16일 임원 회의에서 논의키로 했다. 클린스만 감독 영입을 결정하고도 그동안 별다른 입장을 표명한 적 없는 정몽규 회장도 회의에 참석하는 만큼 직접 발언에 나설지도 관심이 쏠린다. 축구협회는 16일 오전...,https://www.imaeil.com/page/view/2024021520400054108
2일 전,'클린스만 경질' 선택한 전력강화위…뮐러 위원장 책임론도 대두,연합뉴스언론사 선정,"'통보식 일처리'에 전력강화위원들도 ""위원장도 함께 책임져야"" ""감독이 물러나면 당연히 위원장도 함께 경질해야 합니다."" 대한축구협회 국가대표전력강화위원회(이하 전력강화위·위원장 마이클 뮐러)가 위르겐 클린스만 축구 대표팀 감독의 경질을 선택한 가운데 클린스만 감독의 선임을 주도했던 뮐러...",https://www.yna.co.kr/view/AKR20240215155200007?input=1195m
2일 전,[연합뉴스 이 시각 헤드라인] - 18:00,연합뉴스언론사 선정,"■ 축구협회, 클린스만 감독 경질…""국민 기대·정서 미치지 못해"" 대한축구협회가 위르겐 클린스만(독일) 국가대표팀 감독 경질을 확정했다. 정몽규 대한축구협회장은 16일 서울 종로구 축구회관에서 ""오늘 임원 회의에서 어제 국가대표 전력강화위원회 내용을 보고 받아 의견을 모았고...",https://www.yna.co.kr/view/AKR20240216137200011?input=1195m
